id,position,code_name,name,color
23,1,mind,マインド,#2c5cac
13,2,money_marketing,マーケティング講座,#4169e1
24,3,writing,ライティング講座,#4169e1
20,4,money_lstep,Lステップ講座,#4169e1
21,5,money_insta,インスタ講座,#4169e1
17,6,design_base,デザイン／基礎編,#50ffff
25,7,design_achievement,デザイン／実績編,#50ffff
26,8,design_application, デザイン／応用編,#50ffff
19,9,design_marketing,デザイナーのマーケティング戦略,#50ffff
22,10,design_task,デザイン／課題編,#50ffff
18,11,design_matter,デザイン／営業編,#50ffff
1,12,basic,Basic,#007bff
2,13,git,Git,#343a40
3,14,ruby,Ruby,#dc3545
4,15,rails,Ruby on Rails,#dc3545
12,16,aws,AWS,#ec7211
5,17,php,PHP,#6f42c1
6,18,html,HTML&CSS,#ffc107
7,19,js,JavaScript,#e6dc00
8,20,ts,TypeScript,#777777
9,21,react,React,#63daf9
10,22,vue,Vue,#42b983
11,23,angular,Angular,#dd0031
14,24,talk,全ての勉強会,#fd7e14
15,25,live,プログラミング勉強会,#f08080
16,26,invisible,非表示,#000000
